Name;Height;Year;Type;Main use;Country;City;Remarks;Coordinates
Burj Khalifa;829.8;2010;Skyscraper;Office, residential apartments, restaurant, hotel;United Arab Emirates;Dubai;Tallest freestanding structure in the world 2007–Present. Topped out in 2009.;25°11'50.09"N 55°16'27.43"E
Tokyo Skytree;634;2012;Communications tower;Observation, UHF/VHF-transmission, restaurant, and cafe;Japan;Tokyo;Tallest structure in Japan and theOECD. Tallest tower in the world.;35°42'36.5"N 139°48'39"E
Shanghai Tower;632;2015;Skyscraper;Residential, observation, office;China;Shanghai;Topped out in August 2013. Tallest structure in China.;31°14'7.8"N 121°30'3.6"E
Canton Tower;604;2010;Communications tower;Observation, UHF/VHF-transmission, cafe, restaurant;China;Guangzhou;Topped out in 2009.;23°06'23.3"N 113°19'28.5"E
Makkah Clock Royal Tower;601;2012;Skyscraper;Hotel, shopping mall;Saudi Arabia;Mecca;;21°25'08"N 39°49'35"E
Ping An International Finance Center;599.1;2017;Skyscraper;Office, retail;China;Shenzhen;Topped out in 2015.;22°32'11.03"N 114°3'1.61"E
Goldin Finance 117;596.5;2021;Skyscraper;Hotel, residential, commercial offices;China;Tianjin;Topped out in 2015, still uncompleted as of 2021.;39°5'20.65"N 117°4'48.82"E
Lotte World Tower;555.7;2017;Skyscraper;Retail, residential apartments, hotel, offices, observation deck;South Korea;Seoul;Topped out in 2016. Tallest building in theOECD.;37°30'45"N 127°6'10"E
CN Tower;553.3;1976;Communications tower;Observation, UHF/VHF-transmission, restaurant;Canada;Toronto;Tallest freestanding structure in the world 1975–2007.;43°38'30.67"N 79°23'14.27"W
One World Trade Center;546.2;2014;Skyscraper;Office, observation, communication, cafe, restaurant;United States;New York City;Tallest freestanding structure in the United States. Second tallest in thewestern hemisphere.;40°42'46.8"N 74°0'48.6"W
Ostankino Tower;540.1;1967;Communications tower;Observation, restaurant, UHF/VHF-transmission;Russia;Moscow;Tallest freestanding structure in the world 1967–1975. Tallest structure in Europe.Renovated after a fire in 2000.;55°49'11"N 37°36'42"E
Guangzhou CTF Finance Centre;530;2016;Skyscraper;Office, residential, hotel;China;Guangzhou;Topped out in July 2014.;23°7'13"N 113°19'14"E
Willis Tower(formerly Sears Tower);527;1974;Skyscraper;Office, observation, UHF/VHF-transmission, later headquarters forUnited Airlines[2];United States;Chicago;Tallest building in the world 1974–1998 (by structural height).;41°52'44.1"N 87°38'10.2"W
One World Trade Center (1973–2001);526.7;1973;Skyscraper;Office, observation;United States;New York City;Destroyed on 11 September 2001. Tallest freestanding structure that no longer exists. Tallest building in the world 1972–1974.;40°42'45.8712"N 74°0'48.1752"W
Taipei 101;509.2;2004;Skyscraper;Multi-use;Taiwan;Taipei;Tallest skyscraper in the world 2004–2010, first skyscraper to exceed 500 m/1,640ft in structural height.;25°02'01"N 121°33'52"E
Shanghai World Financial Center;494;2008;Skyscraper;Multi-use;China;Shanghai;Tallest building in China 2007–2009.;31°14'12"N 121°30'10"E
International Commerce Centre;484;2010;Skyscraper;Office;China;Hong Kong;Tallest building in Hong Kong.;22°18'12"N 114°9'37"E
Oriental Pearl Tower;467.9;1994;Concrete tower;Communication tower;China;Shanghai;Tallest structure in China (including Hong Kong), 1994–2007.;31°14'30"N 121°29'42"E
John Hancock Center;457.2;1969;Skyscraper;Office, residential, UHF/VHF-transmission;United States;Chicago;World's tallest mixed-use building 1969–2008.;41°53'55.68"N 87°37'22.8"W
Petronas Tower 1;451.9;1998;Skyscraper;Office, observation;Malaysia;Kuala Lumpur;Tallest twin towers in the world. Tallest building in the world 1998–2004.;3°09'28.26"N 101°42'41.94"E
Petronas Tower 2;451.9;1998;Skyscraper;Office, observation;Malaysia;Kuala Lumpur;;3°09'28.26"N 101°42'41.94"E
Greenland Square Zifeng Tower;450;2010;Skyscraper;Mixed-use;China;Nanjing;Topped-out in 2008.;32°03'44.9"N 118°46'41"E
Empire State Building;443.2;1931;Skyscraper;Office, observation, UHF/VHF-transmission;United States;New York City;Tallest freestanding structure 1931–1967.;40°44'54.0"N 73°59'09"W
KK100;441.8;2011;Skyscraper;Mixed use;China;Shenzhen;;22°32'47.58"N 114°6'6.63"E
Guangzhou West Tower;440;2009;Skyscraper;Mixed use;China;Guangzhou;;23°07'13"N 113°19'05"E
Milad Tower;435;2003;Concrete tower;Observation, UHF/VHF-transmission;Iran;Tehran;Tallest structure in Iran.;35°44'40"N 51°22'30"E
Marina 101;426.5;2016;Skyscraper;Hotel & Hotel Apartments;United Arab Emirates;Dubai;Under construction, topped out in 2015.;22°05'22.23"N 55°08'56.12"E
432 Park Avenue;426;2015;Skyscraper;Residential;United States;New York City;;40°45'40"N 73°58'17"W
Trump International Hotel and Tower;423.4;2009;Skyscraper;Hotel, condominium;United States;Chicago;Was the world's tallest concrete formwork structure upon completion. Originally planned to be the world's tallest building in 2001.;41°53'20"N 87°37'36"W
Jin Mao Tower;421.5;1998;Skyscraper;Hotel, office, observation;China;Shanghai;Tallest skyscraper in China, 1998–2007.;31°14'14"N 121°30'05"E
Kuala Lumpur Tower;421;1995;Concrete tower;Observation, restaurant, UHF/VHF-transmission;Malaysia;Kuala Lumpur;;03°09'10"N 101°42'12"E
GRES-2 Power Station Chimney;419.7;1987;Chimney;Power station;Kazakhstan;Ekibastusz;Tallestchimneyin the world.;52°01'20"N 75°28'42"E
Two International Finance Centre;415.4;2003;Skyscraper;Office;China;Hong Kong;;22°17'06"N 114°09'33"E
Two World Trade Center;415.3;1973;Skyscraper;Office, observation;United States;New York City;Destroyed on 11 September 2001.;40°42'46.8"N 74°0'48.6"W
Tianjin Radio and Television Tower;415.2;1991;Concrete tower;Observation, UHF/VHF-transmission;China;Tianjin;;39°05'31"N 117°10'30"E
Haeundae LCT The Sharp Landmark Tower;411.6;2019;Skyscraper;Hotel, residential;South Korea;Busan;;35°09'35"N 129°09'23"E
Central Radio and TV Tower;405;1992;Concrete tower;Observation, UHF/VHF-transmission;China;Beijing;;39°55'05"N 116°18'01"E
CITIC Plaza;391.1;1997;Skyscraper;Office;China;Guangzhou;;23°08'40"N 113°19'10"E
Zhongyuan Tower;388;2010;Concrete/steel tower;UHF/VHF-transmission;China;Zhengzhou;;34°43'29"N 113°43'22"E
Kyiv TV Tower;385;1973;Lattice tower;UHF/VHF-transmission;Ukraine;Kyiv;;50°28'16"N 30°27'12"E
Shun Hing Square;384;1996;Skyscraper;Office;China;Shenzhen;;22°32'43"N 114°06'21"E
Inco Superstack;380;1971;Chimney;Nickel smelter;Canada;Sudbury;Tallest chimney in the western hemisphere.;46°28'48.23"N 81°03'23.43"W
Tuntex Sky Tower;378;1997;Skyscraper;Hotel, office, observation, UHF/VHF-transmission;Taiwan;Kaohsiung;;22°36'42"N 120°18'0"E
Tashkent Tower;374.9;1984;Concrete/steel tower;UHF/VHF-transmission, observation;Uzbekistan;Tashkent;;41°20'44.05"N 69°17'4.57"E
Central Plaza;374;1992;Skyscraper;Office;China;Hong Kong;;22°16'48"N 114°10'25"E
Liberation Tower;372;1993;Concrete tower;UHF/VHF-transmission, observation;Kuwait;Kuwait City;;29°22'05.8"N 47°58'29.83"E
Almaty Tower;371.5;1983;Steel tower;UHF/VHF-transmission;Kazakhstan;Almaty;Tallest free-standing tubular steel structure.;43°13'44"N 76°58'34"E
4th Chimney ofHomer City Generating Station;371;1977;Chimney;Power station;United States;Homer City, Pennsylvania;;40°30'39"N 79°11'37"W
Kennecott Smokestack;370.4;1974;Chimney;Copper smelter;United States;Magna, Utah;Tallest free-standing structure west of theMississippi River.;40°43'18"N 112°11'52"W
Zhoushan Island Overhead Powerline TieNorth tower;370;2010;Lattice tower;Electricity pylon;China;Zhoushan Island;Tallest set of electricity pylons in the world.;29°56'2.78"N 122°2'10.12"E
Zhoushan Island Overhead Powerline TieSouth tower;370;2010;Lattice tower;Electricity pylon;China;Zhoushan Island;Tallest set of electricity pylons in the world.;29°54'41.39"N 122°1'26.38"E
Chimney ofBeryozovskaya GRES;370;1985;Chimney;Power station;Russia;Sharypovo,Krasnoyarsk Krai;Tallest chimney in Russia.;55°34'46"N 89°04'21"E
Riga Radio and TV Tower;368.5;1987;Steel tower;UHF/VHF-transmission, observation;Latvia;Riga;Tallest structure in theEuropean Union.;56°55'26"N 24°08'14"E
Berliner Fernsehturm;368;1969;Concrete tower;Restaurant, UHF/VHF-transmission, observation;Germany;Berlin;Tallest structure in Germany.;52°31'15"N 13°24'34"E
2nd Chimney ofMitchell Power Plant;367.6;1968;Chimney;Power station;United States;Moundsville, West Virginia;;39°54'32.16"N 80°45'41.53"W
Bank of China Tower;367.4;1990;Skyscraper;Office;China;Hong Kong;First skyscraper outside the United States to exceed 1,000ft (305 metres) in height.;22°16'45"N 114°09'41"E
Bank of America Tower (New York City);366;2009;Skyscraper;Office;United States;New York City;;40°45'19"N 73°59'03"W
Aon Center;362.5;1973;Skyscraper;;United States;Chicago;;41°53'07"N 87°37'17"W
Trbovlje Chimney;360;1976;Chimney;Power station;Slovenia;Trbovlje;Tallest chimney in Europe.;46°07'33.37"N 15°03'43.23"E
Almas Tower;360;2008;Skyscraper;Office;United Arab Emirates;Dubai;;25°4'8.25"N 55°8'28.34"E
Endesa Termic;356;1974;Chimney;Power station;Spain;As Pontes, Galicia;;43°26'29"N 7°51'45.50"W
SEG Plaza;355.8;2000;Skyscraper;Office;China;Shenzhen;;22°32'39.5"N 114°04'57.5"E
First Canadian Place;355;1975;Skyscraper;Office, UHF/VHF-transmission;Canada;Toronto;Tallest skyscraper in Canada.;43°38'55"N 79°22'54"W
Emirates Office Tower;354.6;2000;Skyscraper;Office;United Arab Emirates;Dubai;;25°07'49"N 55°09'57"E
Chimney ofPhoenix Copper Smelter;351.5;1995;Chimney;Copper smelter;Romania;Baia Mare;Tallest structure in Romania.;47°39'10.5"N 23°36'19.4"E
Stratosphere Tower;350.2;1996;Concrete tower;Observation, ride;United States;Las Vegas;Tallest Observation Tower in the United States.;36°08'50.59"N 115°9'19.4"W
Colombo Lotus Tower;350;2018;Concrete tower;Communication, Observation;Sri Lanka;Colombo;Tallest structure in Sri Lanka.;06°55'37"N 79°51'30"E
3rd Chimney ofSyrdarya Power Plant;350;1980;Chimney;Power station;Uzbekistan;Shirin;;40°13'41"N 69°6'2"E
